Country name,Regional indicator,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Czech Republic,Central and Eastern Europe,6.620461538461539,10.472923076923077,0.9175384615384616,68.97284615384615,0.8107692307692308,-0.15315384615384614,0.9023846153846153,0.7093461538461538,0.24057692307692308
Denmark,Western Europe,7.676625,10.8825625,0.9569375,71.265,0.945125,0.161125,0.199125,0.814375,0.19775
Djibouti,Middle East and North Africa,4.8225,7.9325,0.7284999999999999,54.01,0.733,0.004749999999999999,0.5815,0.6645,0.1785
Dominican Republic,Latin America and Caribbean,5.2366875,9.57825,0.872625,64.600125,0.8614999999999999,-0.061875,0.748625,0.7661875,0.2890625
Ecuador,Latin America and Caribbean,5.742,9.3035,0.828875,67.49375,0.7785,-0.1129375,0.7745625,0.8395,0.3133125
Egypt,Middle East and North Africa,4.5146875,9.2561875,0.73125,60.764874999999996,0.6319375,-0.1355,0.8231875,0.5860625,0.35575
El Salvador,Latin America and Caribbean,5.95875,8.974125,0.7781875,64.918875,0.7540625,-0.118375,0.7405625,0.841125,0.2935625
Estonia,Central and Eastern Europe,5.670133333333334,10.352866666666667,0.9172,67.42666666666666,0.7886000000000001,-0.16733333333333336,0.6568,0.7031333333333334,0.1919
Ethiopia,Sub-Saharan Africa,4.386699999999999,7.5431,0.7055,57.589999999999996,0.7455999999999999,0.054200000000000005,0.7304999999999999,0.6727000000000001,0.2509
Finland,Western Europe,7.614642857142857,10.751714285714286,0.9493571428571429,71.23857142857143,0.9403571428571428,-0.004142857142857144,0.2445,0.7741428571428572,0.1867857142857143
France,Western Europe,6.6709375,10.678,0.92525,72.865,0.8322499999999999,-0.103,0.629625,0.7696875,0.2535625
Gabon,Sub-Saharan Africa,4.4769,9.6224,0.7618,58.1962,0.6835,-0.1976,0.8284,0.597,0.35629999999999995
Gambia,Sub-Saharan Africa,4.81375,7.6732499999999995,0.6915,55.04,0.7262500000000001,0.34625,0.70175,0.8047500000000001,0.359
Georgia,Commonwealth of Independent States,4.3200625,9.3561875,0.5850625,64.78125,0.6635625,-0.24375,0.542125,0.5358125,0.24031249999999998
Germany,Western Europe,6.862625,10.814875,0.922875,71.385,0.8628750000000001,0.0798125,0.5761875,0.769625,0.20175
Ghana,Sub-Saharan Africa,4.8358125,8.3803125,0.69175,55.367875,0.8030625,0.0730625,0.860625,0.71425,0.2268125
Greece,Western Europe,5.561466666666666,10.329733333333333,0.8111333333333334,71.81333333333333,0.5139333333333334,-0.28203333333333336,0.8852666666666666,0.6671333333333334,0.3093333333333333
Guatemala,Latin America and Caribbean,6.265333333333333,8.961933333333333,0.8251333333333333,63.10386666666667,0.7986,0.06346666666666666,0.7942666666666667,0.8452,0.28713333333333335
Guinea,Sub-Saharan Africa,4.1997,7.7089,0.6157,52.370799999999996,0.7069,0.0412,0.7672,0.6779,0.3572
Guyana,Latin America and Caribbean,5.993,8.773,0.849,57.26,0.694,0.11,0.836,0.768,0.296
Haiti,Latin America and Caribbean,3.9259166666666663,7.44925,0.6098333333333333,47.77,0.47258333333333336,0.31716666666666665,0.7494999999999999,0.5872499999999999,0.31433333333333335
Honduras,Latin America and Caribbean,5.427666666666667,8.553933333333333,0.8106000000000001,66.10666666666667,0.7369333333333333,0.07626666666666666,0.8346,0.8260666666666666,0.2644666666666667
Hong Kong S.A.R. of China,East Asia,5.449583333333333,10.898333333333333,0.8348333333333332,76.82,0.8364166666666667,0.19741666666666668,0.35333333333333333,0.6890833333333334,0.2233333333333333
Hungary,Central and Eastern Europe,5.352533333333333,10.215,0.906,66.46666666666667,0.6247333333333334,-0.15563333333333335,0.9038666666666667,0.6856333333333333,0.24513333333333334
Iceland,Western Europe,7.458444444444445,10.862555555555556,0.978111111111111,72.88,0.9341111111111111,0.24733333333333332,0.6978888888888889,0.871,0.16216666666666668
India,South Asia,4.4323125,8.50575,0.606625,58.4645625,0.7978125,0.025125,0.8250625,0.686375,0.307125
Indonesia,Southeast Asia,5.2354,9.138933333333334,0.7948000000000001,61.07573333333333,0.7757333333333333,0.40700000000000003,0.9271333333333334,0.8530333333333334,0.26276666666666665
Iran,Middle East and North Africa,4.8544285714285715,9.496285714285715,0.6641428571428571,64.80714285714285,0.6829999999999999,0.18307142857142858,0.7161428571428571,0.6215,0.4626428571428572
Iraq,Middle East and North Africa,4.690384615384615,9.212153846153846,0.7469230769230768,59.38946153846154,0.5356538461538461,-0.05392307692307693,0.8120769230769231,0.5272307692307693,0.5158461538461538
Ireland,Western Europe,7.068866666666667,11.083333333333334,0.9591333333333333,71.768,0.8916000000000001,0.22926666666666667,0.45893333333333336,0.8312333333333334,0.21606666666666668
Israel,Middle East and North Africa,7.2145624999999995,10.5083125,0.9056875,72.6064375,0.7280625000000001,0.1179375,0.83225,0.6736875,0.3089375
Italy,Western Europe,6.2976875,10.646,0.8965625,73.02625,0.6456875,-0.0191875,0.904625,0.68025,0.319
Ivory Coast,Sub-Saharan Africa,4.6755,8.4333,0.6626000000000001,48.5594,0.7541,-0.0538,0.7697,0.6791,0.3363
Jamaica,Latin America and Caribbean,5.872857142857143,9.176142857142858,0.8815714285714286,66.60857142857142,0.8254285714285715,-0.07057142857142858,0.8998571428571429,0.7680714285714286,0.24828571428571428
Japan,East Asia,6.011625,10.5705625,0.9018125,74.3425,0.803875,-0.16693750000000002,0.6930625,0.7604375,0.182375
Jordan,Middle East and North Africa,5.164625,9.244375,0.8275625,65.61625,0.7454375,-0.1196875,0.7026249999999999,0.651625,0.304125
Kazakhstan,Commonwealth of Independent States,5.82775,10.0335625,0.9018125,62.0625,0.8055625,-0.138875,0.793625,0.7024375,0.161625
Kenya,Sub-Saharan Africa,4.4156875,8.20825,0.7738125,56.96275,0.724,0.15712500000000001,0.861125,0.754625,0.201875
Kosovo,Central and Eastern Europe,5.7192,9.1394,0.7941333333333332,63.813,0.6607000000000001,0.13956666666666667,0.9095333333333334,0.6938666666666666,0.17853333333333332
Kuwait,Middle East and North Africa,6.25975,10.961666666666666,0.8699166666666667,65.59166666666667,0.8206666666666665,-0.056499999999999995,0.55875,0.7405833333333334,0.248
Kyrgyzstan,Commonwealth of Independent States,5.20575,8.42075,0.8705625,62.4625625,0.7914375,0.0236875,0.903375,0.7101875,0.1665
Laos,Southeast Asia,5.0057,8.678,0.7317,57.0788,0.8995000000000001,0.25630000000000003,0.6378,0.8691000000000001,0.2759
Latvia,Central and Eastern Europe,5.467533333333334,10.169133333333333,0.8786,65.52,0.648,-0.1312,0.8580000000000001,0.6198666666666667,0.22463333333333332
Lebanon,Middle East and North Africa,4.955066666666666,9.711933333333333,0.7750666666666667,65.76766666666667,0.6178666666666667,0.0028666666666666662,0.909,0.5197666666666667,0.32593333333333335
Lesotho,Sub-Saharan Africa,3.905,7.9026,0.7936,47.408,0.7070000000000001,-0.1186,0.8276,0.7493000000000001,0.24610000000000004
Liberia,Sub-Saharan Africa,4.1051,7.2944,0.6873,53.697799999999994,0.7297,0.0123,0.852,0.6054,0.386
Libya,Middle East and North Africa,5.526285714285714,9.539285714285715,0.8428571428571427,62.35142857142857,0.7717142857142857,-0.06357142857142857,0.687,0.7048571428571427,0.37542857142857144
Lithuania,Central and Eastern Europe,5.8526875,10.2893125,0.9236875,65.562875,0.625375,-0.240125,0.9125624999999999,0.575875,0.2608125
Luxembourg,Western Europe,7.070250000000001,11.610416666666666,0.9194166666666667,72.27833333333332,0.9076666666666666,0.03783333333333334,0.3779166666666667,0.7759166666666667,0.20158333333333334
Madagascar,Sub-Saharan Africa,3.99975,7.368333333333333,0.6981666666666667,57.430416666666666,0.5215,-0.03783333333333334,0.8350833333333334,0.7145,0.24458333333333335
Malawi,Sub-Saharan Africa,4.0197692307692305,6.889615384615384,0.5654615384615385,53.416000000000004,0.7897692307692308,0.09607692307692309,0.7726923076923077,0.6813846153846155,0.2598846153846154
Malaysia,Southeast Asia,5.763769230769231,10.027307692307694,0.8263076923076922,66.00784615384615,0.8270769230769232,0.11215384615384615,0.8282307692307692,0.8081153846153846,0.21046153846153845
Maldives,South Asia,5.198,9.826,0.913,70.6,0.8545,0.024,0.825,0.58575,0.231
Mali,Sub-Saharan Africa,4.283285714285714,7.661428571428572,0.7751428571428571,49.60207142857143,0.676,-0.04985714285714286,0.8018571428571429,0.7422857142857142,0.2262142857142857
Malta,Western Europe,6.4103076923076925,10.515846153846153,0.9277692307692308,71.99846153846154,0.894,0.2982692307692308,0.6688076923076923,0.694076923076923,0.3551153846153846
Mauritania,Sub-Saharan Africa,4.398285714285715,8.5145,0.7835,55.584357142857144,0.5565714285714286,-0.049357142857142856,0.7314285714285714,0.7398571428571429,0.1962142857142857
Mauritius,Sub-Saharan Africa,5.8870000000000005,9.94625,0.8688750000000001,66.087625,0.859125,0.047,0.823875,0.77525,0.188
Mexico,Latin America and Caribbean,6.674125,9.835875,0.83175,67.3210625,0.784,-0.1261875,0.740125,0.8211875,0.231875
Moldova,Commonwealth of Independent States,5.6230625000000005,9.2099375,0.839625,62.9186875,0.6590625,-0.08812500000000001,0.93275,0.596,0.2774375
Mongolia,East Asia,5.102285714285714,9.212142857142856,0.9262857142857143,61.271428571428565,0.6955714285714285,0.11521428571428571,0.8995714285714286,0.6570714285714285,0.18571428571428572
Montenegro,Central and Eastern Europe,5.331,9.81607142857143,0.821,67.79992857142857,0.5886428571428571,-0.09871428571428571,0.7871428571428571,0.5831428571428571,0.36792857142857144
Morocco,Middle East and North Africa,5.010545454545454,8.855363636363636,0.6192272727272727,65.13709090909092,0.7307272727272728,-0.21827272727272726,0.8177272727272726,0.6614545454545454,0.28209090909090906
