Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Western Europe
8.078,0.841,51.54,0.75,0.054,0.799,0.725,0.162,False,False,False,False,False,False,False,False,True,False
9.201,0.793,67.0,0.726,-0.165,0.705,0.6525000000000001,0.3085,False,False,False,False,True,False,False,False,False,False
7.744,0.724,51.969,0.697,-0.036,0.827,0.742,0.193,False,False,False,False,False,False,False,False,True,False
10.331,0.917,67.74,0.773,-0.153,0.652,0.68,0.203,True,False,False,False,False,False,False,False,False,False
10.621,0.807,73.3,0.538,0.014,0.851,0.623,0.235,False,False,True,False,False,False,False,False,False,False
9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,False,False,False,False,True,False,False,False,False,False
7.723,0.759,62.4,0.784,0.062,0.679,0.643,0.192,False,True,False,False,False,False,False,False,False,False
10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,True,False,False,False,False,False,False,False,False,False
10.689,0.954,70.74,0.759,0.331,0.548,0.819,0.218,False,False,False,False,False,False,False,False,False,True
9.169,0.913,67.1,0.861,-0.13,0.883,0.769,0.243,False,False,False,True,False,False,False,False,False,False
6.958,0.537,57.948,0.78,0.038,0.729,0.687,0.2615,False,False,False,False,False,False,False,False,True,False
6.885,0.604,52.44,0.637,0.169,0.886,0.816,0.2,False,False,False,False,False,False,False,False,True,False
10.776,0.827,65.0,0.661,-0.081,0.5065,0.744,0.276,False,False,False,False,True,False,False,False,False,False
9.191,0.839,66.26,0.67,-0.063,0.83,0.833,0.286,False,False,False,True,False,False,False,False,False,False
9.764,0.951,67.9,0.882,-0.047,0.912,0.845,0.232,False,False,False,True,False,False,False,False,False,False
9.755,0.818,67.26,0.546,-0.226,0.762,0.603,0.378,True,False,False,False,False,False,False,False,False,False
9.373,0.772,62.0,0.774,-0.199,0.822,0.517,0.313,False,False,False,False,True,False,False,False,False,False
9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,True,False,False,False,False,False,False,False,False,False
10.756,0.939,70.9,0.843,0.095,0.688,0.794,0.182,False,False,False,False,False,False,False,False,False,True
9.192,0.803,62.26,0.658,-0.069,0.941,0.582,0.261,False,True,False,False,False,False,False,False,False,False
10.779,0.931,70.8,0.807,0.022,0.697,0.828,0.24,False,False,False,False,False,False,False,False,False,True
9.748,0.768,57.5,0.852,-0.253,0.729,0.686,0.252,False,False,False,False,False,False,False,False,True,False
9.246,0.92,63.5,0.761,-0.127,0.67,0.696,0.24,False,False,False,False,True,False,False,False,False,False
7.487,0.71,50.24,0.725,-0.105,0.707,0.579,0.205,False,False,False,False,False,False,False,False,True,False
9.571,0.882,67.1,0.835,-0.1,0.898,0.794,0.294,False,False,False,True,False,False,False,False,False,False
9.576,0.898,65.5,0.86,0.536,0.917,0.901,0.182,False,False,False,False,False,False,False,True,False,False
7.324,0.685,55.3,0.733,-0.012,0.867,0.668,0.391,False,False,False,False,False,False,False,False,True,False
9.386,0.913,48.02,0.649,-0.084,0.841,0.802,0.223,False,False,False,False,False,False,False,False,True,False
9.599,0.785,59.7,0.719,-0.197,0.823,0.641,0.418,False,False,False,False,False,False,False,False,True,False
9.3,0.947,61.9,0.76,0.09,0.9,0.694,0.171,False,False,True,False,False,False,False,False,False,False
7.991,0.766,52.38,0.642,-0.074,0.82,0.725,0.239,False,False,False,False,False,False,False,False,True,False
10.117,0.906,65.92,0.569,-0.136,0.93,0.652,0.315,True,False,False,False,False,False,False,False,False,False
10.881,0.944,70.8,0.896,0.344,0.445,0.818,0.213,False,False,False,False,False,False,False,False,False,True
7.522,0.708,49.6,0.716,-0.013,0.707,0.755,0.22,False,False,False,False,False,False,False,False,True,False
9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299,False,False,False,True,False,False,False,False,False,False
9.334,0.723,66.0,0.551,-0.203,0.901,0.594,0.438,False,True,False,False,False,False,False,False,False,False
9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198,False,False,False,False,False,False,False,True,False,False
9.752,0.868,66.44,0.682,-0.076,0.764,0.849,0.196,False,False,False,True,False,False,False,False,False,False
10.649,0.955,71.3,0.841,0.403,0.587,0.863,0.176,False,False,False,False,False,False,False,False,False,True
8.526,0.785,56.4,0.467,-0.175,0.842,0.735,0.222,False,False,False,False,False,False,False,False,True,False
8.543,0.818,47.12,0.652,0.066,0.9,0.811,0.209,False,False,False,False,False,False,False,False,True,False
9.182,0.705,65.36,0.465,-0.225,0.875,0.475,0.459,False,True,False,False,False,False,False,False,False,False
8.048,0.738,48.7,0.817,-0.029,0.87,0.598,0.272,False,False,False,False,False,False,False,False,True,False
10.101,0.795,62.28,0.799,0.004,0.805,0.718,0.169,False,True,False,False,False,False,False,False,False,False
10.398,0.933,69.2,0.771,-0.129,0.926,0.75,0.252,True,False,False,False,False,False,False,False,False,False
9.263,0.503,64.86,0.632,-0.255,0.353,0.515,0.247,False,True,False,False,False,False,False,False,False,False
9.603,0.776,59.962,0.731,-0.2,0.84,0.626,0.372,False,False,False,False,False,False,False,False,True,False
10.259,0.835,71.8,0.532,-0.272,0.824,0.74,0.277,False,False,False,False,False,False,False,False,False,True
8.489,0.761,62.0735,0.454,-0.15,0.78,0.594,0.365,False,False,False,False,True,False,False,False,False,False
10.118,0.818,66.4,0.675,0.222,0.838,0.775,0.314,False,False,False,False,False,False,False,True,False,False
9.38,0.852,60.12,0.624,-0.257,0.929,0.622,0.249,False,True,False,False,False,False,False,False,False,False
9.903,0.858,68.3,0.816,-0.179,0.809,0.882,0.213,False,False,False,True,False,False,False,False,False,False
9.111,0.68,65.1,0.441,-0.214,0.882,0.543,0.411,False,True,False,False,False,False,False,False,False,False
9.244,0.839,66.8,0.723,-0.063,0.806,0.826,0.22,False,False,False,True,False,False,False,False,False,False
10.576,0.802,73.898,0.83,0.012,0.692,0.724,0.311,False,False,False,False,False,False,False,False,False,True
8.282,0.706,58.9,0.749,0.298,0.828,0.743,0.226,False,False,False,False,False,False,False,False,True,False
8.09,0.73,52.78,0.891,0.138,0.771,0.686,0.217,False,False,False,False,False,False,False,False,True,False
9.428,0.885,65.2,0.784,0.126,0.946,0.688,0.285,False,True,False,False,False,False,False,False,False,False
10.506,0.786,73.3,0.756,-0.03,0.898,0.742,0.336,False,False,False,False,False,False,False,False,False,True
10.475,0.809,71.66,0.682,-0.048,0.827,0.656,0.168,False,False,True,False,False,False,False,False,False,False
9.225,0.909,64.9,0.738,-0.004,0.946,0.788,0.201,False,False,False,True,False,False,False,False,False,False
10.356,0.886,69.7,0.883,-0.199,0.869,0.878,0.244,False,False,False,True,False,False,False,False,False,False
7.691,0.683,54.4,0.678,-0.004,0.729,0.691,0.365,False,False,False,False,False,False,False,False,True,False
7.576,0.665,59.9,0.911,0.025,0.159,0.752,0.285,False,False,False,False,False,False,False,False,True,False
10.62,0.848,69.7,0.945,0.132,0.554,0.79,0.297,False,False,False,False,True,False,False,False,False,False
9.432,0.848,56.9,0.738,-0.134,0.82,0.801,0.268,False,False,False,False,False,False,False,False,True,False
10.248,0.909,66.96,0.735,-0.168,0.687,0.651,0.205,True,False,False,False,False,False,False,False,False,False
9.044,0.682,64.8,0.52,-0.231,0.85,0.494,0.469,False,True,False,False,False,False,False,False,False,False
9.461,0.839,53.38,0.714,-0.077,0.8,0.773,0.167,False,False,False,False,False,False,False,False,True,False
7.484,0.626,57.0,0.803,0.113,0.567,0.714,0.237,False,False,False,False,False,False,False,False,True,False
8.192,0.825,57.18,0.708,0.212,0.861,0.765,0.161,False,False,False,False,False,False,False,False,True,False
8.276,0.765,61.2,0.964,0.088,0.821,0.799,0.408,False,False,False,False,False,False,False,True,False,False
10.579,0.948,72.34,0.834,-0.15,0.683,0.772,0.26,False,False,False,False,False,False,False,False,False,True
6.728,0.733,49.34,0.556,-0.022,0.824,0.491,0.283,False,False,False,False,False,False,False,False,True,False
10.714,0.952,71.36,0.933,-0.001,0.265,0.784,0.199,False,False,False,False,False,False,False,False,False,True
9.063,0.756,65.58,0.638,-0.078,0.931,0.758,0.361,False,False,False,True,False,False,False,False,False,False
10.608,0.916,72.92,0.499,-0.102,0.943,0.779,0.357,False,False,False,False,False,False,False,False,False,True
10.784,0.909,71.16,0.891,0.017,0.574,0.797,0.217,False,False,False,False,False,False,False,False,False,True
8.48,0.766,62.0735,0.556,-0.153,0.774,0.594,0.369,False,False,False,False,True,False,False,False,False,False
11.023,0.92,68.2,0.837,0.098,0.698,0.827,0.262,False,False,False,False,False,True,False,False,False,False
8.118,0.71,59.802,0.695,-0.046,0.801,0.743,0.2195,False,False,False,False,False,False,False,False,True,False
8.258,0.833,60.26,0.684,-0.091,0.929,0.655,0.13,False,True,False,False,False,False,False,False,False,False
10.546,0.887,73.56,0.772,-0.135,0.816,0.78,0.191,False,False,True,False,False,False,False,False,False,False
6.937,0.822,51.66,0.556,0.009,0.814,0.559,0.305,False,False,False,False,False,False,False,False,True,False
9.1235,0.545,49.84,0.567,-0.147,0.742,0.614,0.428,False,False,False,False,True,False,False,False,False,False
8.143,0.846,56.06,0.709,0.022,0.923,0.76,0.228,False,False,False,False,False,False,False,False,True,False
11.112,0.851,67.1,0.944,0.054,0.347,0.787,0.302,False,False,False,False,True,False,False,False,False,False
10.287,0.882,69.4,0.884,-0.102,0.837,0.858,0.244,False,False,False,True,False,False,False,False,False,False
8.652,0.712,63.9,0.661,0.122,0.68,0.609,0.338,False,False,False,False,True,False,False,False,False,False
9.321,0.841,63.98,0.646,-0.112,0.664,0.683,0.24,False,False,False,False,True,False,False,False,False,False
9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21,False,True,False,False,False,False,False,False,False,False
6.987,0.532,40.9,0.663,0.081,0.782,0.568,0.33,False,False,False,False,True,False,False,False,False,False
9.457,0.656,66.9,0.631,-0.055,0.96,0.534,0.286,True,False,False,False,False,False,False,False,False,False
8.611,0.693,56.6,0.906,0.232,0.634,0.917,0.387,False,False,False,False,False,False,False,True,False,False
7.889,0.74,59.8,0.722,0.151,0.877,0.629,0.279,False,False,False,False,False,False,True,False,False,False
10.879,0.973,71.5,0.856,0.348,0.618,0.876,0.201,False,False,False,False,False,False,False,False,False,True
10.758,0.83,64.6,0.603,-0.142,0.5065,0.726,0.24,False,False,False,False,True,False,False,False,False,False
6.949,0.528,57.6,0.799,0.073,0.766,0.586,0.365,False,False,False,False,False,False,False,False,True,False
11.042,0.956,73.4,0.965,0.075,0.271,0.823,0.216,False,False,False,False,False,False,False,False,False,True
10.75,0.962,72.1,0.962,-0.116,0.164,0.744,0.193,False,False,False,False,False,False,False,False,False,True
9.451,0.814,66.9,0.808,-0.163,0.677,0.581,0.455,False,True,False,False,False,False,False,False,False,False
10.183,0.845,66.24,0.494,-0.15,0.855,0.651,0.238,True,False,False,False,False,False,False,False,False,False
8.467,0.673,64.8,0.902,-0.051,0.656,0.537,0.369,False,False,False,False,False,False,True,False,False,False
9.63,0.918,69.88,0.923,0.098,0.82,0.875,0.24,False,False,False,True,False,False,False,False,False,False
10.817,0.931,71.14,0.894,0.024,0.566,0.743,0.205,False,False,False,False,False,False,False,False,False,True
7.461,0.843,44.14,0.344,-0.09,0.964,0.631,0.25,False,False,False,False,False,False,False,False,True,False
7.377,0.771,47.42,0.582,-0.06,0.833,0.651,0.281,False,False,False,False,False,False,False,False,True,False
8.9,0.757,64.2,0.669,-0.064,0.694,0.814,0.302,False,False,False,True,False,False,False,False,False,False
11.001,0.937,68.1,0.85,0.034,0.678,0.787,0.295,False,False,False,False,False,True,False,False,False,False
8.973,0.85,68.034,0.94,-0.098,0.796,0.665,0.206,False,False,False,False,False,False,False,True,False,False
10.854,0.98,73.0,0.94,0.301,0.639,0.849,0.18,False,False,False,False,False,False,False,False,False,True
9.677,0.849,65.389,0.745,-0.041,0.91,0.59,0.298,True,False,False,False,False,False,False,False,False,False
9.874,0.876,71.3,0.942,-0.107,0.781,0.87,0.326,False,False,False,True,False,False,False,False,False,False
10.059,0.862,69.46,0.733,0.217,0.758,0.87,0.276,False,False,False,True,False,False,False,False,False,False
8.865,0.781,61.68,0.862,-0.015,0.84,0.782,0.409,False,False,False,True,False,False,False,False,False,False
9.228,0.824,63.813,0.827,0.125,0.941,0.704,0.15,True,False,False,False,False,False,False,False,False,False
9.5,0.808,67.2,0.633,0.134,0.957,0.641,0.304,True,False,False,False,False,False,False,False,False,False
9.318,0.821,63.813,0.869,0.257,0.917,0.696,0.175,True,False,False,False,False,False,False,False,False,False
10.982,0.893,64.6,0.703,-0.031,0.486,0.718,0.203,False,False,False,False,True,False,False,False,False,False
